Generation, BestScore, AverageScore, WorstScore
100, 0.78125, 0.6430664, 0.65625
200, 0.84375, 0.65283203, 0.625
300, 0.84375, 0.6064453, 0.6875
400, 0.84375, 0.76660156, 0.8125
500, 0.84375, 0.640625, 0.65625
600, 0.84375, 0.6855469, 0.71875
700, 0.875, 0.5986328, 0.5
800, 0.875, 0.55078125, 0.5625
900, 0.875, 0.60546875, 0.625
1000, 0.875, 0.55810547, 0.5625
1100, 0.875, 0.61035156, 0.6875
1200, 0.875, 0.6772461, 0.6875
1300, 0.875, 0.53125, 0.3125
1400, 0.875, 0.49560547, 0.46875
1500, 0.875, 0.72216797, 0.8125
1600, 0.875, 0.6425781, 0.6875
1700, 0.875, 0.5371094, 0.546875
1800, 0.875, 0.7285156, 0.75
1900, 0.875, 0.6611328, 0.6875
2000, 0.875, 0.6533203, 0.6875
2100, 0.875, 0.57714844, 0.5
2200, 0.875, 0.61621094, 0.5625
2300, 0.875, 0.7109375, 0.75
2400, 0.875, 0.56933594, 0.625
2500, 0.875, 0.62353516, 0.625
2600, 0.875, 0.65283203, 0.6875
2700, 0.875, 0.67578125, 0.6875
2800, 0.875, 0.56884766, 0.484375
2900, 0.875, 0.5214844, 0.5
3000, 0.875, 0.6542969, 0.6875
3100, 0.875, 0.6035156, 0.625
3200, 0.875, 0.67529297, 0.6875
3300, 0.875, 0.6113281, 0.59375
3400, 0.875, 0.58984375, 0.5625
3500, 0.875, 0.53759766, 0.5
3600, 0.875, 0.6640625, 0.65625
3700, 0.875, 0.5932617, 0.78125
3800, 0.875, 0.62597656, 0.625
3900, 0.875, 0.6513672, 0.640625
4000, 0.875, 0.60058594, 0.625
4100, 0.875, 0.5078125, 0.53125
4200, 0.875, 0.5097656, 0.484375
4300, 0.875, 0.6738281, 0.703125
4400, 0.875, 0.61328125, 0.5
4500, 0.875, 0.5776367, 0.71875
4600, 0.875, 0.60839844, 0.5625
4700, 0.875, 0.68066406, 0.71875
4800, 0.875, 0.68652344, 0.6875
4900, 0.875, 0.671875, 0.46875
5000, 0.875, 0.6533203, 0.6875
5100, 0.875, 0.6152344, 0.59375
5200, 0.875, 0.6821289, 0.46875
5300, 0.875, 0.625, 0.625
5400, 0.875, 0.55371094, 0.671875
5500, 0.875, 0.6796875, 0.546875
5600, 0.875, 0.57470703, 0.515625
5700, 0.875, 0.5439453, 0.5
5800, 0.875, 0.60058594, 0.625
5900, 0.875, 0.58984375, 0.59375
6000, 0.875, 0.6801758, 0.8125
6100, 0.875, 0.64746094, 0.765625
6200, 0.875, 0.58154297, 0.6875
6300, 0.875, 0.57714844, 0.5625
6400, 0.875, 0.62597656, 0.625
6500, 0.875, 0.54296875, 0.46875
6600, 0.875, 0.61816406, 0.5625
6700, 0.875, 0.6088867, 0.640625
6800, 0.875, 0.6616211, 0.734375
6900, 0.875, 0.74121094, 0.75
7000, 0.875, 0.6191406, 0.640625
7100, 0.875, 0.7685547, 0.8125
7200, 0.875, 0.53222656, 0.75
7300, 0.875, 0.6777344, 0.640625
7400, 0.875, 0.7011719, 0.71875
7500, 0.875, 0.7524414, 0.796875
7600, 0.875, 0.63964844, 0.5625
7700, 0.875, 0.64941406, 0.578125
7800, 0.875, 0.67089844, 0.703125
7900, 0.875, 0.6220703, 0.625
8000, 0.875, 0.70703125, 0.71875
8100, 0.875, 0.5576172, 0.5625
8200, 0.875, 0.64453125, 0.734375
8300, 0.875, 0.6723633, 0.703125
8400, 0.875, 0.625, 0.46875
8500, 0.875, 0.56640625, 0.546875
8600, 0.875, 0.56640625, 0.5625
8700, 0.875, 0.60302734, 0.546875
8800, 0.875, 0.49902344, 0.5
8900, 0.875, 0.6689453, 0.6875
9000, 0.875, 0.6459961, 0.6875
9100, 0.875, 0.72021484, 0.75
9200, 0.875, 0.55908203, 0.53125
9300, 0.875, 0.55566406, 0.5
9400, 0.875, 0.6323242, 0.53125
9500, 0.875, 0.6386719, 0.65625
9600, 0.875, 0.6455078, 0.71875
9700, 0.875, 0.61328125, 0.625
9800, 0.875, 0.63916016, 0.6875
9900, 0.875, 0.54785156, 0.4375
10000, 0.875, 0.6220703, 0.671875
10100, 0.875, 0.5673828, 0.625
10200, 0.875, 0.6308594, 0.6875
10300, 0.875, 0.5605469, 0.625
10400, 0.875, 0.58496094, 0.5625
10500, 0.875, 0.5546875, 0.625
10600, 0.875, 0.67089844, 0.703125
10700, 0.875, 0.62109375, 0.625
10800, 0.875, 0.5048828, 0.53125
10900, 0.875, 0.58691406, 0.5625
11000, 0.90625, 0.8564453, 0.90625
11100, 0.90625, 0.6074219, 0.578125
11200, 0.90625, 0.58691406, 0.59375
11300, 0.90625, 0.63427734, 0.65625
11400, 0.90625, 0.5917969, 0.59375
11500, 0.90625, 0.63916016, 0.65625
11600, 0.90625, 0.54296875, 0.5
11700, 0.90625, 0.5805664, 0.59375
11800, 0.90625, 0.53222656, 0.40625
11900, 0.90625, 0.52441406, 0.25
12000, 0.90625, 0.73339844, 0.75
12100, 0.90625, 0.6274414, 0.640625
12200, 0.90625, 0.5629883, 0.5625
12300, 0.90625, 0.5341797, 0.5625
12400, 0.90625, 0.51953125, 0.53125
12500, 0.90625, 0.6689453, 0.59375
12600, 0.90625, 0.6767578, 0.6875
12700, 0.90625, 0.73535156, 0.8125
12800, 0.90625, 0.6611328, 0.71875
12900, 0.90625, 0.7402344, 0.46875
13000, 0.90625, 0.5966797, 0.59375
13100, 0.90625, 0.6894531, 0.703125
13200, 0.90625, 0.60546875, 0.640625
13300, 0.90625, 0.6088867, 0.625
13400, 0.90625, 0.5419922, 0.53125
13500, 0.90625, 0.60546875, 0.625
13600, 0.90625, 0.65185547, 0.390625
13700, 0.90625, 0.63427734, 0.625
13800, 0.90625, 0.6640625, 0.6875
13900, 0.90625, 0.68359375, 0.75
14000, 0.90625, 0.6743164, 0.6875
14100, 0.90625, 0.5957031, 0.59375
14200, 0.90625, 0.5253906, 0.65625
14300, 0.90625, 0.6308594, 0.390625
14400, 0.90625, 0.59814453, 0.625
14500, 0.90625, 0.5336914, 0.46875
14600, 0.90625, 0.54833984, 0.46875
14700, 0.90625, 0.7050781, 0.734375
14800, 0.90625, 0.6855469, 0.71875
14900, 0.90625, 0.71777344, 0.75
15000, 0.90625, 0.5419922, 0.53125
15100, 0.90625, 0.6425781, 0.65625
15200, 0.90625, 0.59765625, 0.59375
15300, 0.90625, 0.6557617, 0.65625
15400, 0.90625, 0.5053711, 0.5
15500, 0.90625, 0.7207031, 0.6875
15600, 0.90625, 0.6777344, 0.734375
15700, 0.90625, 0.6953125, 0.6875
15800, 0.90625, 0.70410156, 0.71875
15900, 0.90625, 0.64941406, 0.6875
16000, 0.90625, 0.5229492, 0.515625
16100, 0.90625, 0.5004883, 0.46875
16200, 0.90625, 0.6660156, 0.75
16300, 0.90625, 0.6035156, 0.625
16400, 0.90625, 0.67285156, 0.75
16500, 0.90625, 0.6074219, 0.59375
16600, 0.90625, 0.71972656, 0.75
16700, 0.90625, 0.71484375, 0.75
16800, 0.90625, 0.51708984, 0.5
16900, 0.90625, 0.70166016, 0.71875
17000, 0.90625, 0.61816406, 0.625
17100, 0.90625, 0.75390625, 0.75
17200, 0.90625, 0.5917969, 0.75
17300, 0.90625, 0.5908203, 0.5625
17400, 0.90625, 0.7036133, 0.625
17500, 0.90625, 0.5522461, 0.5
17600, 0.90625, 0.7207031, 0.78125
17700, 0.90625, 0.45996094, 0.375
17800, 0.90625, 0.63183594, 0.65625
17900, 0.90625, 0.62597656, 0.65625
18000, 0.90625, 0.56103516, 0.5625
18100, 0.90625, 0.7338867, 0.71875
18200, 0.90625, 0.62646484, 0.6875
18300, 0.90625, 0.64404297, 0.65625
18400, 0.90625, 0.6074219, 0.625
18500, 0.90625, 0.7294922, 0.78125
18600, 0.90625, 0.5703125, 0.53125
18700, 0.90625, 0.6538086, 0.71875
18800, 0.90625, 0.63378906, 0.6875
18900, 0.90625, 0.5488281, 0.53125
