Best, Worst, Average
0.6225, 0.4425, 0.5055447
0.6225, 0.5025, 0.50613874
0.6225, 0.505, 0.50616354
0.6225, 0.505, 0.50616354
0.6225, 0.505, 0.50616354
0.6225, 0.4425, 0.5049259
0.6225, 0.4425, 0.50552
0.6225, 0.505, 0.50616354
0.6225, 0.5025, 0.5061388
0.6225, 0.4425, 0.5055447
0.6225, 0.4425, 0.5055447
0.6225, 0.4425, 0.5049259
0.6225, 0.505, 0.50616354
0.6225, 0.4425, 0.5055447
0.6225, 0.5025, 0.50613874
0.6225, 0.4425, 0.5049259
0.6225, 0.505, 0.50616354
0.6225, 0.505, 0.50616354
0.6225, 0.505, 0.50616354
0.6225, 0.505, 0.50616354
